000072, SEQID 14463, CYCLE 018 5000, SIZE 4115456, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000073, SEQID 14464, CYCLE 018 5500, SIZE 3715072, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000074, SEQID 14465, CYCLE 018 6000, SIZE 4133376, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000075, SEQID 14466, CYCLE 018 6500, SIZE 3585024, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000076, SEQID 14467, CYCLE 018 7000, SIZE 3857920, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000077, SEQID 14468, CYCLE 018 7500, SIZE 4145152, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000078, SEQID 14469, CYCLE 019 0000, SIZE 3586048, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000079, SEQID 14470, CYCLE 019 0500, SIZE 3859456, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000080, SEQID 14471, CYCLE 019 1000, SIZE 4146176, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000081, SEQID 14472, CYCLE 019 1500, SIZE 3599360, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000082, SEQID 14473, CYCLE 019 2000, SIZE 4126720, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000083, SEQID 14474, CYCLE 019 2500, SIZE 3617280, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000084, SEQID 14475, CYCLE 019 3000, SIZE 3870720, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000085, SEQID 14476, CYCLE 019 3500, SIZE 4058624, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52066500, LON 121.83668333, ALT 29.500, UTC 04:39:13.00
000086, SEQID 14477, CYCLE 019 4000, SIZE 3642880, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000087, SEQID 14478, CYCLE 019 4500, SIZE 3900928, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000088, SEQID 14479, CYCLE 019 5000, SIZE 3901440, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000089, SEQID 14480, CYCLE 019 5500, SIZE 4059648, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000090, SEQID 14481, CYCLE 019 6000, SIZE 3698688, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000091, SEQID 14482, CYCLE 019 6500, SIZE 3879936, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000092, SEQID 14483, CYCLE 019 7000, SIZE 3922944, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000093, SEQID 14484, CYCLE 019 7500, SIZE 3715072, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000094, SEQID 14485, CYCLE 020 0000, SIZE 3833344, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000095, SEQID 14486, CYCLE 020 0500, SIZE 3950592, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000096, SEQID 14487, CYCLE 020 1000, SIZE 3752960, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000097, SEQID 14488, CYCLE 020 1500, SIZE 3865600, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000098, SEQID 14489, CYCLE 020 2000, SIZE 3758592, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000099, SEQID 14490, CYCLE 020 2500, SIZE 3877376, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
000100, SEQID 14491, CYCLE 020 3000, SIZE 3766784, GAMMA 0.000, GAIN 64, SHUTTER 76, LAT 24.52067333, LON 121.83674833, ALT 30.000, UTC 04:39:14.00
